"city_name";"mundi_code";"sc_code";"neighborhood";"district";"renta_neta_media_por_persona";"renta_neta_media_por_hogar";"media_de_la_renta_por_unidad_de_consumo";"mediana_de_la_renta_por_unidad_de_consumo";"renta_bruta_media_por_persona";"renta_bruta_media_por_hogar";"edad_media_de_la_poblacion";"porcentaje_de_poblacion_menor_de_18_anos";"porcentaje_de_poblacion_de_65_y_mas_anos";"tamano_medio_del_hogar";"porcentaje_de_hogares_unipersonales";"poblacion";"porcentaje_de_poblacion_espanola";"fuente_de_ingreso_salario";"fuente_de_ingreso_pensiones";"fuente_de_ingreso_prestaciones_por_desempleo";"fuente_de_ingreso_otras_prestaciones";"fuente_de_ingreso_otros_ingresos";"cluster"
"Barcelona";"801902018";"2018";"el Fort Pienc";"Eixample";18581;44397;27365;25550;23553;56275;46.3;14.2;27.2;2;33.7;1790;79.1;12528;5968;709;682;3666;3
"Barcelona";"801902019";"2019";"el Fort Pienc";"Eixample";17073;40691;25002;22750;21551;51364;44.7;13.1;22.1;2;33.7;1964;76.6;12520;4840;904;692;2595;3
"Barcelona";"801902020";"2020";"el Fort Pienc";"Eixample";15657;35944;22340;19950;19639;45085;42.3;11.2;16.4;2;35;1447;67.4;11910;3691;818;762;2457;3
"Barcelona";"801902021";"2021";"la Sagrada Família";"Eixample";15683;35070;22593;20650;19969;44655;45.6;11.7;23.2;2;35;1482;77.2;12514;4186;885;610;1775;3
"Barcelona";"801902022";"2022";"la Sagrada Família";"Eixample";16546;42090;24468;20650;20976;53360;44;13.6;19.9;2;28.3;1299;76.7;13546;4070;767;827;1765;3
"Barcelona";"801902023";"2023";"la Sagrada Família";"Eixample";17450;38465;24822;22750;21845;48152;47.6;9.6;24.9;2;36.5;1040;85.2;13709;4873;770;1048;1444;3
"Barcelona";"801902024";"2024";"la Sagrada Família";"Eixample";16120;37901;23091;19950;20123;47313;44.5;10.1;19.5;2;33.5;1127;69.8;12941;3733;805;719;1925;3
"Barcelona";"801902025";"2025";"la Sagrada Família";"Eixample";15506;34880;22349;19950;19236;43271;45.5;12.6;23.5;2;35.4;1143;78.1;11410;4610;742;772;1702;3
"Barcelona";"801902026";"2026";"la Sagrada Família";"Eixample";16611;40173;24300;21350;21055;50919;44.6;11.9;21.2;2;32.1;2118;75.2;12908;4229;816;669;2433;3
"Barcelona";"801902027";"2027";"la Sagrada Família";"Eixample";17166;40752;24896;21350;21524;51097;46.1;12.9;23.5;2;34.9;2012;75.8;12496;4892;689;799;2648;3
"Barcelona";"801902028";"2028";"la Sagrada Família";"Eixample";16917;39674;24986;22050;21506;50434;45.5;11.9;22.8;2;35.1;2019;77;12835;4801;771;658;2441;3
"Barcelona";"801902029";"2029";"la Sagrada Família";"Eixample";17241;40639;25355;22050;21564;50828;44.5;13.7;23.4;2;32.2;1248;80.9;13298;4715;765;799;1986;3
"Barcelona";"801902030";"2030";"la Sagrada Família";"Eixample";13740;33197;20152;18550;16772;40523;42.7;14.8;17.9;2;32.1;1327;72.5;10471;3358;883;657;1403;3
"Barcelona";"801902031";"2031";"la Sagrada Família";"Eixample";18816;44782;27835;24850;23859;56784;47.3;13.9;28.8;2;30.5;1025;85.9;13573;6746;517;650;2372;3
"Barcelona";"801902032";"2032";"la Sagrada Família";"Eixample";18255;40779;26377;23450;22866;51079;46.3;11.7;25;2;35;1035;81.5;12815;5159;802;916;3174;3
"Barcelona";"801902033";"2033";"la Sagrada Família";"Eixample";16607;37293;23885;22750;20592;46242;44.9;12.5;21.9;2;37;1182;79.2;13023;4310;835;788;1635;3
"Barcelona";"801902034";"2034";"la Sagrada Família";"Eixample";16065;35287;22748;18550;19904;43719;46.1;9.6;23.9;2;38.3;1144;70.9;11351;4440;698;597;2818;3
"Barcelona";"801902035";"2035";"la Sagrada Família";"Eixample";18546;40762;26330;22750;23141;50862;47.8;8.9;26.7;2;37.2;1261;80;11784;5684;840;788;4047;3
"Barcelona";"801902036";"2036";"la Sagrada Família";"Eixample";19066;45694;27681;26250;24047;57634;45.9;11.8;23.3;2;31.1;1175;82.5;13139;5777;837;892;3402;3
"Barcelona";"801902037";"2037";"la Sagrada Família";"Eixample";19862;48288;28750;26250;25195;61256;46.2;11.5;24.4;2;28.3;1192;86.4;14731;5538;752;809;3365;3
"Barcelona";"801902038";"2038";"la Sagrada Família";"Eixample";18971;44566;27411;25550;24265;57002;44.9;10.6;18.4;2;34;1503;82.2;15653;4559;770;796;2488;3
"Barcelona";"801902039";"2039";"la Sagrada Família";"Eixample";16983;38991;24478;22050;21398;49129;45.1;12.7;21.2;2;34.7;1672;76.5;13233;4531;779;872;1983;3
"Barcelona";"801902040";"2040";"la Sagrada Família";"Eixample";15196;34892;21463;18900;18705;42950;43.6;11.7;18.9;2;34.1;1656;69.7;11765;3491;993;809;1646;3
"Barcelona";"801902041";"2041";"la Sagrada Família";"Eixample";16645;38399;23797;21350;20814;48016;45.8;11.8;25;2;36.8;1583;78;11471;5283;755;593;2712;3
"Barcelona";"801902042";"2042";"la Sagrada Família";"Eixample";20629;46333;29309;26950;26140;58710;49.7;10.3;32.1;2;31.2;1553;89.4;13149;7718;660;658;3955;3
"Barcelona";"801902043";"2043";"la Sagrada Família";"Eixample";18004;45025;26206;22750;22815;57057;44.3;14.2;20.6;2;30.7;1491;81.8;13745;4772;828;753;2717;3
"Barcelona";"801902044";"2044";"la Sagrada Família";"Eixample";15592;37648;22367;19950;19148;46235;45.4;13.2;24.9;2;31.1;1268;75.1;10334;5370;749;736;1959;3
"Barcelona";"801902045";"2045";"la Sagrada Família";"Eixample";18667;44786;26833;22750;23600;56620;46.3;13.1;25.9;2;27.4;1132;79.6;12624;6122;821;535;3498;3
"Barcelona";"801902046";"2046";"la Sagrada Família";"Eixample";15759;38385;22992;21350;19438;47344;43.6;14;19.7;2;33;1903;76.4;12047;4052;848;876;1615;3
